KPP_IT, 10.0.160.7
KPP1, 10.0.160.8
KPP1_2, 10.0.160.26
КНС, 10.0.160.10
Бойлерная, 10.0.160.11
Бойлерная2, 10.0.160.21
ABK1, 10.0.160.12
ABK2, 10.0.160.27
ABK1eth, 10.0.160.17
Цех1, 10.0.160.15
Цех2, 10.0.160.16
Цех3, 10.0.160.36
Цех4, 10.0.160.35
Цех5, 10.0.160.13
Цех6, 10.0.160.14
Швейка1, 10.0.160.18
Стекляшка1, 10.0.160.20
Стекляшка1-2, 10.0.160.30
SGP1, 10.0.160.25
SGP1-2, 10.0.160.23
SGP2, 10.0.160.28
SGP3, 10.0.160.29
Гальваника, 10.0.160.24
Раздевалки, 10.0.160.31
Столовая1, 10.0.160.32
Столовая2, 10.0.160.19
Стоянка, 10.0.160.37
